Method	MaxD	Ref	Mat	QC	CNV_Region	TP	FP	FN	Sensitivity	PPV	FNR	FDR	F1	FMI	JI
LRRmean	10000	OEE	GSA	Raw	SegDup	458	847	1045	0.305	0.351	0.695	0.649	0.326	0.327	0.195
LRRmean	10000	OEE	GSA	QCd	Tel	20	10	103	0.163	0.667	0.837	0.333	0.261	0.329	0.15
LRRmean	10000	OEE	GSA	QCd	Cen	17	40	436	0.038	0.298	0.962	0.702	0.067	0.106	0.034
LRRmean	10000	OEE	GSA	QCd	SegDup	188	95	1229	0.133	0.664	0.867	0.336	0.221	0.297	0.124
LRRsd	10000	OEE	GSA	Raw	Tel	52	91	91	0.364	0.364	0.636	0.636	0.364	0.364	0.222
LRRsd	10000	OEE	GSA	Raw	Cen	79	129	431	0.155	0.38	0.845	0.62	0.22	0.243	0.124
LRRsd	10000	OEE	GSA	Raw	SegDup	473	821	1040	0.313	0.366	0.687	0.634	0.337	0.338	0.203
LRRsd	10000	OEE	GSA	QCd	Tel	21	10	102	0.171	0.677	0.829	0.323	0.273	0.34	0.158
LRRsd	10000	OEE	GSA	QCd	Cen	17	40	436	0.038	0.298	0.962	0.702	0.067	0.106	0.034
LRRsd	10000	OEE	GSA	QCd	SegDup	191	95	1217	0.136	0.668	0.864	0.332	0.226	0.301	0.127
Pos	10000	OEE	GSA	Raw	Tel	51	91	90	0.362	0.359	0.638	0.641	0.36	0.36	0.22
Pos	10000	OEE	GSA	Raw	Cen	82	132	426	0.161	0.383	0.839	0.617	0.227	0.249	0.128
Pos	10000	OEE	GSA	Raw	SegDup	457	799	1056	0.302	0.364	0.698	0.636	0.33	0.332	0.198
Pos	10000	OEE	GSA	QCd	Tel	21	29	102	0.171	0.42	0.829	0.58	0.243	0.268	0.138
Pos	10000	OEE	GSA	QCd	Cen	21	44	435	0.046	0.323	0.954	0.677	0.081	0.122	0.042
Pos	10000	OEE	GSA	QCd	SegDup	187	97	1223	0.133	0.658	0.867	0.342	0.221	0.296	0.124
