Method	MaxD	QC	Ref	Mat	CNV_Type	CNV_Size	TP	FP	FN	Sensitivity	PPV	FNR	FDR	F1	FMI	JI
LRRmean	10000	QCd	GSA	OEE	Duplications	Medium	108	18	1213	0.082	0.857	0.918	0.143	0.149	0.265	0.081
LRRmean	10000	QCd	GSA	OEE	Duplications	Large	33	3	65	0.337	0.917	0.663	0.083	0.493	0.556	0.327
LRRsd	10000	Raw	GSA	OEE	All	All	4221	6569	14945	0.22	0.391	0.78	0.609	0.282	0.294	0.164
LRRsd	10000	Raw	GSA	OEE	All	Small	3265	5862	13309	0.197	0.358	0.803	0.642	0.254	0.265	0.146
LRRsd	10000	Raw	GSA	OEE	All	Medium	892	634	1520	0.37	0.585	0.63	0.415	0.453	0.465	0.293
LRRsd	10000	Raw	GSA	OEE	All	Large	64	73	83	0.435	0.467	0.565	0.533	0.451	0.451	0.291
LRRsd	10000	Raw	GSA	OEE	Deletions	All	2627	4723	7153	0.269	0.357	0.731	0.643	0.307	0.31	0.181
LRRsd	10000	Raw	GSA	OEE	Deletions	Small	2184	4187	6712	0.246	0.343	0.754	0.657	0.286	0.29	0.167
LRRsd	10000	Raw	GSA	OEE	Deletions	Medium	425	491	433	0.495	0.464	0.505	0.536	0.479	0.479	0.315
LRRsd	10000	Raw	GSA	OEE	Deletions	Large	18	45	6	0.75	0.286	0.25	0.714	0.414	0.463	0.261
LRRsd	10000	Raw	GSA	OEE	Duplications	All	1594	1846	7792	0.17	0.463	0.83	0.537	0.249	0.281	0.142
LRRsd	10000	Raw	GSA	OEE	Duplications	Small	1081	1675	6597	0.141	0.392	0.859	0.608	0.207	0.235	0.116
LRRsd	10000	Raw	GSA	OEE	Duplications	Medium	467	143	1087	0.301	0.766	0.699	0.234	0.432	0.48	0.275
LRRsd	10000	Raw	GSA	OEE	Duplications	Large	46	28	77	0.374	0.622	0.626	0.378	0.467	0.482	0.305
LRRsd	10000	QCd	GSA	OEE	All	All	2324	2267	16341	0.125	0.506	0.875	0.494	0.2	0.251	0.111
LRRsd	10000	QCd	GSA	OEE	All	Small	2076	2242	14360	0.126	0.481	0.874	0.519	0.2	0.246	0.111
LRRsd	10000	QCd	GSA	OEE	All	Medium	203	21	1884	0.097	0.906	0.903	0.094	0.176	0.297	0.096
LRRsd	10000	QCd	GSA	OEE	All	Large	45	4	73	0.381	0.918	0.619	0.082	0.539	0.592	0.369
LRRsd	10000	QCd	GSA	OEE	Deletions	All	1432	1421	8099	0.15	0.502	0.85	0.498	0.231	0.275	0.131
LRRsd	10000	QCd	GSA	OEE	Deletions	Small	1340	1415	7449	0.152	0.486	0.848	0.514	0.232	0.272	0.131
LRRsd	10000	QCd	GSA	OEE	Deletions	Medium	82	5	639	0.114	0.943	0.886	0.057	0.203	0.327	0.113
LRRsd	10000	QCd	GSA	OEE	Deletions	Large	10	1	7	0.588	0.909	0.412	0.091	0.714	0.731	0.556
LRRsd	10000	QCd	GSA	OEE	Duplications	All	892	846	8242	0.098	0.513	0.902	0.487	0.164	0.224	0.089
LRRsd	10000	QCd	GSA	OEE	Duplications	Small	736	827	6911	0.096	0.471	0.904	0.529	0.16	0.213	0.087
LRRsd	10000	QCd	GSA	OEE	Duplications	Medium	121	16	1245	0.089	0.883	0.911	0.117	0.161	0.28	0.088
LRRsd	10000	QCd	GSA	OEE	Duplications	Large	35	3	66	0.347	0.921	0.653	0.079	0.504	0.565	0.337
Pos	10000	Raw	GSA	OEE	All	All	4192	6841	14897	0.22	0.38	0.78	0.62	0.278	0.289	0.162
Pos	10000	Raw	GSA	OEE	All	Small	3227	6101	13239	0.196	0.346	0.804	0.654	0.25	0.26	0.143
Pos	10000	Raw	GSA	OEE	All	Medium	897	674	1537	0.369	0.571	0.631	0.429	0.448	0.459	0.289
Pos	10000	Raw	GSA	OEE	All	Large	68	66	84	0.447	0.507	0.553	0.493	0.476	0.476	0.312
Pos	10000	Raw	GSA	OEE	Deletions	All	2629	4907	7125	0.27	0.349	0.73	0.651	0.304	0.307	0.179
Pos	10000	Raw	GSA	OEE	Deletions	Small	2188	4357	6683	0.247	0.334	0.753	0.666	0.284	0.287	0.165
Pos	10000	Raw	GSA	OEE	Deletions	Medium	423	514	435	0.493	0.451	0.507	0.549	0.471	0.472	0.308
Pos	10000	Raw	GSA	OEE	Deletions	Large	18	36	5	0.783	0.333	0.217	0.667	0.468	0.511	0.305
Pos	10000	Raw	GSA	OEE	Duplications	All	1563	1934	7772	0.167	0.447	0.833	0.553	0.244	0.274	0.139
Pos	10000	Raw	GSA	OEE	Duplications	Small	1039	1744	6556	0.137	0.373	0.863	0.627	0.2	0.226	0.111
Pos	10000	Raw	GSA	OEE	Duplications	Medium	474	160	1102	0.301	0.748	0.699	0.252	0.429	0.474	0.273
Pos	10000	Raw	GSA	OEE	Duplications	Large	50	30	79	0.388	0.625	0.612	0.375	0.478	0.492	0.314
Pos	10000	QCd	GSA	OEE	All	All	2027	1956	13026	0.135	0.509	0.865	0.491	0.213	0.262	0.119
Pos	10000	QCd	GSA	OEE	All	Small	1797	1929	11467	0.135	0.482	0.865	0.518	0.212	0.256	0.118
Pos	10000	QCd	GSA	OEE	All	Medium	189	25	1482	0.113	0.883	0.887	0.117	0.201	0.316	0.111
Pos	10000	QCd	GSA	OEE	All	Large	41	2	57	0.418	0.953	0.582	0.047	0.582	0.632	0.41
Pos	10000	QCd	GSA	OEE	Deletions	All	1298	1174	6441	0.168	0.525	0.832	0.475	0.254	0.297	0.146
Pos	10000	QCd	GSA	OEE	Deletions	Small	1207	1169	5940	0.169	0.508	0.831	0.492	0.253	0.293	0.145
Pos	10000	QCd	GSA	OEE	Deletions	Medium	81	5	493	0.141	0.942	0.859	0.058	0.245	0.365	0.14
Pos	10000	QCd	GSA	OEE	Deletions	Large	10	0	4	0.714	1	0.286	0	0.833	0.845	0.714
Pos	10000	QCd	GSA	OEE	Duplications	All	729	782	6585	0.1	0.482	0.9	0.518	0.165	0.219	0.09
Pos	10000	QCd	GSA	OEE	Duplications	Small	590	760	5527	0.096	0.437	0.904	0.563	0.158	0.205	0.086
Pos	10000	QCd	GSA	OEE	Duplications	Medium	108	20	989	0.098	0.844	0.902	0.156	0.176	0.288	0.097
Pos	10000	QCd	GSA	OEE	Duplications	Large	31	2	53	0.369	0.939	0.631	0.061	0.53	0.589	0.36
FullSet	0	Raw	OEE	GSA	All	All	4547	19676	9592	0.322	0.188	0.678	0.812	0.237	0.246	0.134
FullSet	0	Raw	OEE	GSA	All	Small	3493	17611	8935	0.281	0.166	0.719	0.834	0.208	0.216	0.116
FullSet	0	Raw	OEE	GSA	All	Medium	987	1921	597	0.623	0.339	0.377	0.661	0.439	0.46	0.282
FullSet	0	Raw	OEE	GSA	All	Large	67	144	35	0.657	0.318	0.343	0.682	0.428	0.457	0.272
FullSet	0	Raw	OEE	GSA	Deletions	All	2898	10192	6877	0.296	0.221	0.704	0.779	0.253	0.256	0.145
FullSet	0	Raw	OEE	GSA	Deletions	Small	2402	9576	6383	0.273	0.201	0.727	0.799	0.231	0.234	0.131
FullSet	0	Raw	OEE	GSA	Deletions	Medium	477	606	459	0.51	0.44	0.49	0.56	0.473	0.474	0.309
FullSet	0	Raw	OEE	GSA	Deletions	Large	19	10	27	0.413	0.655	0.587	0.345	0.507	0.52	0.339
FullSet	0	Raw	OEE	GSA	Duplications	All	1649	9484	2715	0.378	0.148	0.622	0.852	0.213	0.237	0.119
FullSet	0	Raw	OEE	GSA	Duplications	Small	1091	8035	2552	0.299	0.12	0.701	0.88	0.171	0.189	0.093
FullSet	0	Raw	OEE	GSA	Duplications	Medium	510	1315	138	0.787	0.279	0.213	0.721	0.412	0.469	0.26
FullSet	0	Raw	OEE	GSA	Duplications	Large	48	134	8	0.857	0.264	0.143	0.736	0.403	0.475	0.253
FullSet	0	QCd	OEE	GSA	All	All	2316	6927	10603	0.179	0.251	0.821	0.749	0.209	0.212	0.117
FullSet	0	QCd	OEE	GSA	All	Small	2053	6551	9684	0.175	0.239	0.825	0.761	0.202	0.204	0.112
FullSet	0	QCd	OEE	GSA	All	Medium	225	318	852	0.209	0.414	0.791	0.586	0.278	0.294	0.161
FullSet	0	QCd	OEE	GSA	All	Large	38	58	40	0.487	0.396	0.513	0.604	0.437	0.439	0.279
FullSet	0	QCd	OEE	GSA	Deletions	All	1400	3369	7877	0.151	0.294	0.849	0.706	0.199	0.21	0.111
FullSet	0	QCd	OEE	GSA	Deletions	Small	1308	3298	7247	0.153	0.284	0.847	0.716	0.199	0.208	0.11
FullSet	0	QCd	OEE	GSA	Deletions	Medium	84	68	589	0.125	0.553	0.875	0.447	0.204	0.263	0.113
FullSet	0	QCd	OEE	GSA	Deletions	Large	8	3	30	0.211	0.727	0.789	0.273	0.327	0.391	0.195
FullSet	0	QCd	OEE	GSA	Duplications	All	916	3558	2726	0.252	0.205	0.748	0.795	0.226	0.227	0.127
FullSet	0	QCd	OEE	GSA	Duplications	Small	745	3253	2437	0.234	0.186	0.766	0.814	0.208	0.209	0.116
FullSet	0	QCd	OEE	GSA	Duplications	Medium	141	250	263	0.349	0.361	0.651	0.639	0.355	0.355	0.216
FullSet	0	QCd	OEE	GSA	Duplications	Large	30	55	10	0.75	0.353	0.25	0.647	0.48	0.514	0.316
PerfectMatch	0	Raw	OEE	GSA	All	All	1411	1118	17591	0.074	0.558	0.926	0.442	0.131	0.204	0.07
PerfectMatch	0	Raw	OEE	GSA	All	Small	878	936	16364	0.051	0.484	0.949	0.516	0.092	0.157	0.048
PerfectMatch	0	Raw	OEE	GSA	All	Medium	495	180	1144	0.302	0.733	0.698	0.267	0.428	0.471	0.272
PerfectMatch	0	Raw	OEE	GSA	All	Large	38	2	53	0.418	0.95	0.582	0.05	0.58	0.63	0.409
PerfectMatch	0	Raw	OEE	GSA	Deletions	All	655	604	13229	0.047	0.52	0.953	0.48	0.087	0.157	0.045
PerfectMatch	0	Raw	OEE	GSA	Deletions	Small	475	477	12370	0.037	0.499	0.963	0.501	0.069	0.136	0.036
PerfectMatch	0	Raw	OEE	GSA	Deletions	Medium	167	126	805	0.172	0.57	0.828	0.43	0.264	0.313	0.152
PerfectMatch	0	Raw	OEE	GSA	Deletions	Large	13	1	42	0.236	0.929	0.764	0.071	0.377	0.468	0.232
PerfectMatch	0	Raw	OEE	GSA	Duplications	All	756	514	4362	0.148	0.595	0.852	0.405	0.237	0.297	0.134
PerfectMatch	0	Raw	OEE	GSA	Duplications	Small	403	459	3994	0.092	0.468	0.908	0.532	0.153	0.207	0.083
PerfectMatch	0	Raw	OEE	GSA	Duplications	Medium	328	54	339	0.492	0.859	0.508	0.141	0.625	0.65	0.455
PerfectMatch	0	Raw	OEE	GSA	Duplications	Large	25	1	11	0.694	0.962	0.306	0.038	0.806	0.817	0.676
PerfectMatch	0	QCd	OEE	GSA	All	All	751	472	14412	0.05	0.614	0.95	0.386	0.092	0.174	0.048
PerfectMatch	0	QCd	OEE	GSA	All	Small	585	464	13163	0.043	0.558	0.957	0.442	0.079	0.154	0.041
PerfectMatch	0	QCd	OEE	GSA	All	Medium	144	8	1167	0.11	0.947	0.89	0.053	0.197	0.323	0.109
PerfectMatch	0	QCd	OEE	GSA	All	Large	22	0	50	0.306	1	0.694	0	0.468	0.553	0.306
PerfectMatch	0	QCd	OEE	GSA	Deletions	All	359	167	10849	0.032	0.683	0.968	0.317	0.061	0.148	0.032
PerfectMatch	0	QCd	OEE	GSA	Deletions	Small	306	161	9995	0.03	0.655	0.97	0.345	0.057	0.14	0.029
PerfectMatch	0	QCd	OEE	GSA	Deletions	Medium	46	6	799	0.054	0.885	0.946	0.115	0.103	0.219	0.054
PerfectMatch	0	QCd	OEE	GSA	Deletions	Large	7	0	40	0.149	1	0.851	0	0.259	0.386	0.149
PerfectMatch	0	QCd	OEE	GSA	Duplications	All	392	305	3563	0.099	0.562	0.901	0.438	0.169	0.236	0.092
PerfectMatch	0	QCd	OEE	GSA	Duplications	Small	279	303	3168	0.081	0.479	0.919	0.521	0.138	0.197	0.074
PerfectMatch	0	QCd	OEE	GSA	Duplications	Medium	98	2	368	0.21	0.98	0.79	0.02	0.346	0.454	0.209
PerfectMatch	0	QCd	OEE	GSA	Duplications	Large	15	0	10	0.6	1	0.4	0	0.75	0.775	0.6
BAF	10000	Raw	OEE	GSA	All	All	4156	9868	11231	0.27	0.296	0.73	0.704	0.283	0.283	0.165
BAF	10000	Raw	OEE	GSA	All	Small	3288	9273	10496	0.239	0.262	0.761	0.738	0.25	0.25	0.143
BAF	10000	Raw	OEE	GSA	All	Medium	817	592	674	0.548	0.58	0.452	0.42	0.563	0.564	0.392
BAF	10000	Raw	OEE	GSA	All	Large	51	3	36	0.586	0.944	0.414	0.056	0.723	0.744	0.567
BAF	10000	Raw	OEE	GSA	Deletions	All	2644	5437	7990	0.249	0.327	0.751	0.673	0.283	0.285	0.165
BAF	10000	Raw	OEE	GSA	Deletions	Small	2265	5175	7474	0.233	0.304	0.767	0.696	0.264	0.266	0.152
BAF	10000	Raw	OEE	GSA	Deletions	Medium	363	262	481	0.43	0.581	0.57	0.419	0.494	0.5	0.328
BAF	10000	Raw	OEE	GSA	Deletions	Large	16	0	27	0.372	1	0.628	0	0.542	0.61	0.372
BAF	10000	Raw	OEE	GSA	Duplications	All	1512	4431	3241	0.318	0.254	0.682	0.746	0.283	0.284	0.165
BAF	10000	Raw	OEE	GSA	Duplications	Small	1023	4098	3022	0.253	0.2	0.747	0.8	0.223	0.225	0.126
BAF	10000	Raw	OEE	GSA	Duplications	Medium	454	330	193	0.702	0.579	0.298	0.421	0.635	0.637	0.465
BAF	10000	Raw	OEE	GSA	Duplications	Large	35	3	9	0.795	0.921	0.205	0.079	0.854	0.856	0.745
BAF	10000	QCd	OEE	GSA	All	All	2190	3126	11486	0.16	0.412	0.84	0.588	0.231	0.257	0.13
BAF	10000	QCd	OEE	GSA	All	Small	1962	3096	10531	0.157	0.388	0.843	0.612	0.224	0.247	0.126
BAF	10000	QCd	OEE	GSA	All	Medium	200	29	887	0.184	0.873	0.816	0.127	0.304	0.401	0.179
BAF	10000	QCd	OEE	GSA	All	Large	28	1	40	0.412	0.966	0.588	0.034	0.577	0.631	0.406
BAF	10000	QCd	OEE	GSA	Deletions	All	1341	1550	8450	0.137	0.464	0.863	0.536	0.211	0.252	0.118
BAF	10000	QCd	OEE	GSA	Deletions	Small	1261	1537	7823	0.139	0.451	0.861	0.549	0.212	0.25	0.119
BAF	10000	QCd	OEE	GSA	Deletions	Medium	73	13	587	0.111	0.849	0.889	0.151	0.196	0.306	0.108
BAF	10000	QCd	OEE	GSA	Deletions	Large	7	0	29	0.194	1	0.806	0	0.326	0.441	0.194
BAF	10000	QCd	OEE	GSA	Duplications	All	849	1576	3036	0.219	0.35	0.781	0.65	0.269	0.277	0.155
BAF	10000	QCd	OEE	GSA	Duplications	Small	701	1559	2708	0.206	0.31	0.794	0.69	0.247	0.253	0.141
BAF	10000	QCd	OEE	GSA	Duplications	Medium	127	16	300	0.297	0.888	0.703	0.112	0.446	0.514	0.287
BAF	10000	QCd	OEE	GSA	Duplications	Large	21	1	11	0.656	0.955	0.344	0.045	0.778	0.791	0.636
LRRmean	10000	Raw	OEE	GSA	All	All	4143	9870	11265	0.269	0.296	0.731	0.704	0.282	0.282	0.164
LRRmean	10000	Raw	OEE	GSA	All	Small	3272	9290	10520	0.237	0.26	0.763	0.74	0.248	0.249	0.142
LRRmean	10000	Raw	OEE	GSA	All	Medium	820	577	683	0.546	0.587	0.454	0.413	0.566	0.566	0.394
LRRmean	10000	Raw	OEE	GSA	All	Large	51	3	37	0.58	0.944	0.42	0.056	0.718	0.74	0.56
LRRmean	10000	Raw	OEE	GSA	Deletions	All	2627	5405	8015	0.247	0.327	0.753	0.673	0.281	0.284	0.164
LRRmean	10000	Raw	OEE	GSA	Deletions	Small	2251	5150	7496	0.231	0.304	0.769	0.696	0.263	0.265	0.151
